id,sentiment
12311_10,0.980705201625824
8348_2,6.776062218705192e-05
5828_4,0.35368359088897705
7186_2,0.5533982515335083
12128_7,0.7982572317123413
2913_8,0.8109163641929626
4396_1,0.024834804236888885
395_2,0.30159416794776917
10616_1,0.007955568842589855
9074_9,0.3157573342323303
9252_3,0.0023930545430630445
9896_9,0.07961955666542053
574_4,0.17488163709640503
11182_8,0.7529351711273193
11656_4,0.25494149327278137
2322_4,0.7556707859039307
8703_1,0.22428394854068756
7483_1,0.12056683003902435
6007_10,0.9395808577537537
12424_4,0.009892159141600132
4672_1,8.218771108658984e-05
10841_3,0.34304875135421753
8954_7,0.7094605565071106
7392_1,0.01650228723883629
10288_8,0.9417594075202942
5343_4,0.04302476346492767
4950_1,0.002686781343072653
9257_4,0.8865519762039185
8689_3,0.03505004569888115
4480_2,0.02635877951979637
9286_10,0.97856605052948
12245_10,0.9906561970710754
7529_7,0.7397094368934631
4_4,0.06322001665830612
5299_2,0.03739045560359955
12077_8,0.9242863059043884
10701_2,0.038278933614492416
11579_1,0.0852031260728836
10993_1,0.12207340449094772
8913_1,0.08066929131746292
1350_3,0.12911483645439148
3804_2,0.05330231413245201
5025_3,0.1215166449546814
5170_8,0.5496951937675476
8225_8,0.9898753762245178
6427_7,0.9803870320320129
3165_3,0.7447760701179504
7902_9,0.9842733144760132
8208_3,0.016361478716135025
3577_8,0.9260623455047607
4865_1,0.026645489037036896
9063_3,0.15793836116790771
1106_1,0.35628244280815125
1117_9,0.9468173980712891
1050_4,0.19130833446979523
10755_9,0.7499546408653259
2729_8,0.8707137107849121
10072_10,0.97548508644104
2904_7,0.965968668460846
4584_2,0.7304162383079529
189_4,0.18112975358963013
6302_4,0.06713742762804031
8138_9,0.757299542427063
1262_1,0.08870533853769302
2199_10,0.9967965483665466
6551_7,0.790168285369873
8082_7,0.34178221225738525
4897_8,0.9977577328681946
7360_1,0.04452996701002121
11012_10,0.892128050327301
12046_1,0.17787779867649078
2331_2,0.7523142695426941
8961_9,0.9328467845916748
751_7,0.8002422451972961
9884_10,0.7474227547645569
10016_8,0.8478439450263977
8023_10,0.8421390056610107
2628_1,0.002898545702919364
5832_1,0.007734502200037241
7302_1,0.01085471361875534
4501_3,0.17481155693531036
1121_7,0.3755088448524475
8334_3,0.5946490168571472
9789_10,0.5839560627937317
4230_10,0.8228232860565186
824_4,0.006544238422065973
6803_9,0.9746744632720947
3086_7,0.9001755118370056
1135_8,0.8760722279548645
10136_1,0.0018149475799873471
11129_3,0.06476262956857681
2072_8,0.38958629965782166
9501_7,0.991507887840271
319_10,0.9270905256271362
1693_7,0.8860859870910645
10886_1,0.00013758691784460098
9406_8,0.8220502734184265
10376_10,0.07050987333059311
9902_1,0.08754993230104446
9938_8,0.2680095434188843
7080_9,0.6647396087646484
11944_8,0.5969025492668152
5249_1,0.0004727778141386807
9599_2,0.11997470259666443
9620_1,0.07068075239658356
11244_1,0.0816463977098465
6841_10,0.9662177562713623
10050_4,0.4435637295246124
10512_9,0.8158078789710999
